Buffalo -500 1 0308 0200 1101 0200
Phoenix -700 0 0 0 0 0
Provo -700 1 0308 0200 1101 0200
Asuncion -400 1 1004 0000 0321 2400
Santiago -400 1 0906 0000 0404 2400
Uppsala +100 1 0329 0200 1025 0300
StJohn's -350 1 0308 0200 1101 0200

